x,y,radius,brightness
100,26,0.4,242
101,26,0.36,242
102,26,0.4,242
103,26,0.39,242
104,26,0.4,240
105,26,0.36,237
106,26,0.4,242
107,26,0.35,243
108,26,0.33,239
109,26,0.4,241
110,26,0.4,241
111,26,0.38,242
112,26,0.33,238
115,26,0.4,241
116,26,0.34,242
119,26,0.4,241
1,27,0.4,238
36,27,0.35,241
37,27,0.4,239
41,27,0.38,242
42,27,0.4,239
44,27,0.4,240
45,27,0.4,242
46,27,0.36,241
47,27,0.39,240
48,27,0.4,241
49,27,0.36,238
50,27,0.37,241
51,27,0.4,239
52,27,0.33,241
53,27,0.36,240
54,27,0.35,242
55,27,0.38,241
56,27,0.38,241
57,27,0.4,241
58,27,0.38,240
60,27,0.34,238
61,27,0.33,242
62,27,0.39,241
63,27,0.4,241
64,27,0.4,240
65,27,0.4,243
66,27,0.36,240
67,27,0.4,239
68,27,0.38,241
69,27,0.36,242
70,27,0.34,241
71,27,0.38,242
72,27,0.39,242
73,27,0.36,240
74,27,0.35,242
75,27,0.4,244
76,27,0.33,240
77,27,0.4,241
78,27,0.38,242
79,27,0.4,242
80,27,0.34,239
81,27,0.39,241
82,27,0.4,240
83,27,0.38,240
84,27,0.37,240
85,27,0.38,240
86,27,0.35,241
87,27,0.35,240
88,27,0.36,241
89,27,0.33,241
90,27,0.4,242
91,27,0.34,243
92,27,0.4,242
93,27,0.33,241
94,27,0.4,240
95,27,0.39,241
96,27,0.33,241
97,27,0.4,241
98,27,0.4,241
99,27,0.4,241
100,27,0.38,241
101,27,0.36,241
102,27,0.35,242
103,27,0.34,241
104,27,0.4,241
105,27,0.4,240
106,27,0.35,241
107,27,0.33,242
108,27,0.37,241
109,27,0.34,241
110,27,0.35,242
111,27,0.35,239
112,27,0.4,239
113,27,0.38,241
114,27,0.39,242
115,27,0.37,240
116,27,0.4,242
117,27,0.39,242
118,27,0.33,240
119,27,0.34,242
120,27,0.4,241
123,27,0.4,239
124,27,0.34,238
328,27,0.38,237
329,27,0.4,243
331,27,0.39,240
332,27,0.33,240
335,27,0.39,247
336,27,0.36,242
25,28,0.35,241
47,28,0.4,242
48,28,0.34,241
49,28,0.4,242
50,28,0.4,236
52,28,0.4,243
53,28,0.37,241
54,28,0.34,241
55,28,0.4,241
56,28,0.4,239
60,28,0.35,240
61,28,0.34,240
62,28,0.39,243
63,28,0.4,241
64,28,0.33,242
66,28,0.4,242
67,28,0.34,243
68,28,0.33,242
70,28,0.34,242
71,28,0.38,243
72,28,0.4,240
73,28,0.4,240
74,28,0.33,239
75,28,0.35,243
76,28,0.38,241
77,28,0.34,241
78,28,0.4,241
79,28,0.37,241
80,28,0.4,240
81,28,0.4,242
82,28,0.4,242
83,28,0.36,245
84,28,0.38,241
85,28,0.4,240
86,28,0.34,243
87,28,0.33,240
88,28,0.37,241
89,28,0.38,243
90,28,0.4,241
91,28,0.4,242
92,28,0.33,241
93,28,0.34,242
94,28,0.4,242
95,28,0.36,241
96,28,0.34,241
97,28,0.4,241
98,28,0.4,242
99,28,0.4,242
100,28,0.4,241
101,28,0.4,242
102,28,0.4,240
103,28,0.36,240
104,28,0.38,240
105,28,0.4,242
106,28,0.37,240
107,28,0.4,240
108,28,0.4,241
109,28,0.4,240
110,28,0.4,241
111,28,0.37,241
112,28,0.4,240
113,28,0.33,241
114,28,0.37,241
115,28,0.4,241
116,28,0.4,241
117,28,0.33,240
118,28,0.4,241
119,28,0.4,242
120,28,0.38,241
121,28,0.34,241
122,28,0.4,241
123,28,0.4,241
124,28,0.35,241
125,28,0.4,241
126,28,0.33,241
128,28,0.35,238
129,28,0.37,243
131,28,0.4,243
132,28,0.36,242
134,28,0.4,239
135,28,0.4,238
138,28,0.35,242
139,28,0.33,242
140,28,0.4,237
145,28,0.4,240
323,28,0.4,241
324,28,0.4,241
326,28,0.4,242
327,28,0.37,241
328,28,0.34,240
329,28,0.4,246
330,28,0.4,242
331,28,0.36,242
332,28,0.4,241
335,28,0.33,240
336,28,0.34,243
337,28,0.36,242
338,28,0.34,241
339,28,0.38,241
340,28,0.4,238
341,28,0.39,243
342,28,0.39,243
343,28,0.34,240
344,28,0.39,240
9,29,0.4,243
10,29,0.37,244
11,29,0.4,240
12,29,0.4,242
14,29,0.4,242
17,29,0.4,244
18,29,0.38,245
19,29,0.35,239
22,29,0.34,240
23,29,0.34,241
24,29,0.34,239
25,29,0.4,240
26,29,0.4,240
27,29,0.4,238
53,29,0.4,242
54,29,0.37,242
55,29,0.4,242
56,29,0.4,243
57,29,0.34,240
58,29,0.33,243
59,29,0.35,241
60,29,0.4,241
63,29,0.4,241
80,29,0.34,241
81,29,0.4,241
82,29,0.35,241
83,29,0.36,240
84,29,0.35,242
85,29,0.4,238
86,29,0.4,242
87,29,0.34,242
88,29,0.33,243
89,29,0.4,241
90,29,0.37,242
91,29,0.39,241
92,29,0.4,241
93,29,0.39,240
94,29,0.35,240
95,29,0.36,241
96,29,0.4,239
97,29,0.4,239
98,29,0.36,239
99,29,0.33,241
100,29,0.34,241
101,29,0.36,241
102,29,0.4,240
103,29,0.38,241
104,29,0.39,242
105,29,0.38,240
106,29,0.4,241
107,29,0.4,241
108,29,0.35,243
109,29,0.4,241
110,29,0.39,239
111,29,0.4,241
112,29,0.33,241
113,29,0.4,242
114,29,0.35,241
115,29,0.39,240
116,29,0.4,239
117,29,0.38,240
118,29,0.39,240
119,29,0.37,242
120,29,0.4,241
121,29,0.4,242
122,29,0.34,241
123,29,0.33,240
124,29,0.39,240
125,29,0.36,240
126,29,0.33,242
127,29,0.4,240
128,29,0.35,241
129,29,0.4,243
130,29,0.34,241
131,29,0.4,242
132,29,0.4,242
133,29,0.4,242
134,29,0.4,241
135,29,0.4,241
136,29,0.37,241
137,29,0.35,241
138,29,0.4,237
139,29,0.4,242
140,29,0.4,241
141,29,0.34,239
142,29,0.33,240
143,29,0.35,242
144,29,0.4,240
145,29,0.34,242
147,29,0.4,242
148,29,0.4,242
149,29,0.37,241
150,29,0.38,242
152,29,0.36,241
154,29,0.37,240
155,29,0.35,238
156,29,0.39,239
158,29,0.4,242
297,29,0.39,241
309,29,0.4,238
313,29,0.4,242
314,29,0.4,240
315,29,0.4,242
320,29,0.34,240
321,29,0.4,240
322,29,0.4,241
323,29,0.4,241
324,29,0.38,242
325,29,0.4,244
326,29,0.4,242
327,29,0.4,240
329,29,0.38,241
334,29,0.37,236
335,29,0.4,239
336,29,0.38,242
337,29,0.4,241
338,29,0.36,240
340,29,0.39,238
341,29,0.39,241
342,29,0.39,238
343,29,0.4,243
344,29,0.36,239
347,29,0.35,243
348,29,0.37,240
351,29,0.4,242
352,29,0.38,240
353,29,0.37,240
354,29,0.38,243
4,30,0.35,241
5,30,0.34,243
9,30,0.4,243
13,30,0.34,242
15,30,0.4,241
16,30,0.4,244
17,30,0.39,241
18,30,0.4,241
20,30,0.4,242
21,30,0.39,242
22,30,0.39,241
23,30,0.35,240
25,30,0.4,242
27,30,0.39,240
28,30,0.37,242
29,30,0.4,237
30,30,0.4,238
32,30,0.38,240
33,30,0.4,239
34,30,0.4,239
42,30,0.4,241
59,30,0.37,244
63,30,0.38,241
64,30,0.36,245
66,30,0.4,239
67,30,0.4,241
86,30,0.4,236
87,30,0.4,240
88,30,0.34,241
91,30,0.4,243
92,30,0.34,242
93,30,0.4,241
94,30,0.35,242
96,30,0.4,240
98,30,0.4,240
99,30,0.35,242
100,30,0.39,241
102,30,0.36,240
103,30,0.4,241
104,30,0.35,239
105,30,0.4,242
108,30,0.39,242
109,30,0.33,242
110,30,0.35,242
115,30,0.37,240
118,30,0.4,239
121,30,0.4,240
122,30,0.35,241
123,30,0.38,240
124,30,0.4,241
125,30,0.38,241
126,30,0.36,241
127,30,0.4,240
128,30,0.4,240
130,30,0.4,243
131,30,0.4,242
132,30,0.38,242
133,30,0.33,243
134,30,0.33,240
135,30,0.4,241
136,30,0.37,241
137,30,0.4,242
138,30,0.4,243
139,30,0.39,241
140,30,0.4,241
141,30,0.39,242
142,30,0.4,240
143,30,0.4,240
144,30,0.4,241
145,30,0.4,240
146,30,0.33,240
147,30,0.34,241
148,30,0.38,241
149,30,0.4,242
150,30,0.4,241
151,30,0.38,241
152,30,0.4,240
153,30,0.37,241
154,30,0.4,242
155,30,0.34,242
156,30,0.4,241
158,30,0.37,241
159,30,0.36,242
160,30,0.33,241
161,30,0.35,242
162,30,0.33,243
163,30,0.39,238
164,30,0.4,240
165,30,0.33,240
166,30,0.39,243
167,30,0.38,240
168,30,0.4,240
169,30,0.33,242
170,30,0.35,241
171,30,0.37,242
172,30,0.37,243
177,30,0.38,241
271,30,0.39,243
277,30,0.37,237
282,30,0.37,239
284,30,0.4,240
285,30,0.34,240
290,30,0.36,242
291,30,0.4,240
294,30,0.37,240
295,30,0.35,241
296,30,0.4,243
297,30,0.38,241
298,30,0.4,240
299,30,0.4,240
300,30,0.4,244
306,30,0.38,243
307,30,0.38,243
308,30,0.33,242
309,30,0.33,239
311,30,0.4,238
312,30,0.4,241
313,30,0.37,241
314,30,0.4,240
315,30,0.4,242
317,30,0.37,239
318,30,0.33,240
319,30,0.4,242
320,30,0.34,242
321,30,0.38,241
322,30,0.39,240
323,30,0.33,241
325,30,0.35,238
327,30,0.36,240
346,30,0.4,241
347,30,0.34,241
348,30,0.4,239
349,30,0.37,242
350,30,0.39,242
354,30,0.4,240
355,30,0.4,240
1,31,0.4,240
2,31,0.35,241
3,31,0.36,241
4,31,0.38,241
5,31,0.35,240
7,31,0.36,241
8,31,0.4,242
9,31,0.35,242
13,31,0.39,242
16,31,0.37,241
28,31,0.4,244
29,31,0.38,242
30,31,0.4,240
31,31,0.38,239
33,31,0.4,241
34,31,0.34,244
35,31,0.38,243
36,31,0.38,241
37,31,0.34,243
38,31,0.4,243
39,31,0.4,240
41,31,0.37,241
42,31,0.4,243
43,31,0.39,241
44,31,0.35,240
62,31,0.33,241
64,31,0.4,239
67,31,0.4,239
68,31,0.38,240
69,31,0.4,241
70,31,0.4,242
71,31,0.4,239
96,31,0.35,241
97,31,0.39,245
98,31,0.4,241
99,31,0.38,246
101,31,0.4,241
102,31,0.34,242
103,31,0.37,241
104,31,0.33,241
105,31,0.38,242
106,31,0.4,239
107,31,0.34,240
108,31,0.35,241
109,31,0.4,243
110,31,0.35,246
112,31,0.4,240
123,31,0.4,241
125,31,0.38,242
127,31,0.35,241
128,31,0.36,241
129,31,0.36,243
130,31,0.4,240
131,31,0.36,241
132,31,0.4,242
133,31,0.33,241
135,31,0.4,242
136,31,0.4,240
137,31,0.4,240
138,31,0.4,243
139,31,0.33,241
140,31,0.35,241
141,31,0.37,244
142,31,0.4,241
143,31,0.35,241
144,31,0.33,240
145,31,0.36,241
146,31,0.37,241
147,31,0.33,239
148,31,0.4,241
149,31,0.38,239
150,31,0.34,240
151,31,0.39,239
152,31,0.33,241
153,31,0.4,242
154,31,0.4,239
155,31,0.38,240
156,31,0.34,239
157,31,0.4,242
158,31,0.35,242
159,31,0.4,243
160,31,0.4,241
161,31,0.4,241
162,31,0.4,241
164,31,0.4,240
165,31,0.36,242
166,31,0.38,241
167,31,0.4,241
168,31,0.4,243
169,31,0.34,241
170,31,0.35,240
174,31,0.4,242
176,31,0.4,241
177,31,0.39,240
178,31,0.4,240
179,31,0.4,241
180,31,0.4,244
183,31,0.35,241
184,31,0.39,240
185,31,0.35,240
215,31,0.4,241
228,31,0.34,242
253,31,0.36,242
254,31,0.35,243
255,31,0.32,237
257,31,0.4,241
259,31,0.4,237
260,31,0.4,245
262,31,0.35,241
263,31,0.4,241
266,31,0.36,242
267,31,0.4,244
268,31,0.4,242
269,31,0.4,242
271,31,0.33,238
272,31,0.36,240
273,31,0.39,242
278,31,0.36,242
279,31,0.4,240
280,31,0.4,242
283,31,0.4,241
284,31,0.33,240
285,31,0.4,241
286,31,0.34,241
287,31,0.39,242
288,31,0.4,241
289,31,0.34,243
290,31,0.38,239
291,31,0.39,241
292,31,0.38,247
293,31,0.36,242
294,31,0.4,241
295,31,0.4,239
298,31,0.34,242
305,31,0.37,241
306,31,0.38,242
307,31,0.4,241
308,31,0.38,241
309,31,0.36,242
310,31,0.4,240
311,31,0.38,239
312,31,0.37,241
313,31,0.4,240
314,31,0.35,239
315,31,0.37,245
316,31,0.4,242
317,31,0.36,240
318,31,0.39,240
319,31,0.34,240
320,31,0.33,242
321,31,0.4,240
322,31,0.37,241
323,31,0.38,242
324,31,0.37,243
330,31,0.35,239
331,31,0.35,241
355,31,0.4,242
356,31,0.34,234
357,31,0.38,236
358,31,0.35,243
0,32,0.4,241
1,32,0.39,242
2,32,0.4,241
3,32,0.38,240
4,32,0.37,241
9,32,0.36,241
10,32,0.39,239
14,32,0.4,240
15,32,0.4,242
16,32,0.37,241
17,32,0.4,241
18,32,0.4,239
19,32,0.33,241
20,32,0.4,236
21,32,0.4,241
29,32,0.35,240
33,32,0.4,243
34,32,0.34,234
36,32,0.4,240
37,32,0.38,238
38,32,0.4,241
47,32,0.36,238
65,32,0.4,240
67,32,0.4,242
70,32,0.37,242
71,32,0.4,242
72,32,0.33,239
73,32,0.33,241
74,32,0.34,242
100,32,0.36,238
101,32,0.39,242
103,32,0.4,241
104,32,0.4,242
105,32,0.34,238
106,32,0.39,244
107,32,0.35,243
108,32,0.36,240
109,32,0.37,240
110,32,0.38,241
111,32,0.37,241
113,32,0.38,241
114,32,0.4,239
115,32,0.4,242
116,32,0.36,240
129,32,0.34,241
130,32,0.36,245
133,32,0.4,242
136,32,0.4,240
137,32,0.36,242
138,32,0.34,243
139,32,0.37,240
140,32,0.4,242
141,32,0.36,242
142,32,0.4,240
143,32,0.39,243
144,32,0.39,242
146,32,0.33,241
147,32,0.35,239
148,32,0.38,243
149,32,0.38,240
150,32,0.34,243
152,32,0.39,241
153,32,0.4,242
154,32,0.4,240
155,32,0.4,242
156,32,0.4,241
157,32,0.4,240
158,32,0.34,242
159,32,0.35,242
160,32,0.33,243
161,32,0.4,242
162,32,0.34,242
164,32,0.39,240
165,32,0.38,241
166,32,0.4,241
167,32,0.36,240
168,32,0.4,238
173,32,0.37,243
174,32,0.37,241
175,32,0.4,243
176,32,0.35,237
179,32,0.4,240
181,32,0.4,239
182,32,0.33,242
184,32,0.4,244
185,32,0.4,238
189,32,0.4,245
190,32,0.36,240
191,32,0.4,242
192,32,0.36,241
193,32,0.39,240
194,32,0.37,236
195,32,0.34,242
196,32,0.34,241
197,32,0.4,242
198,32,0.4,242
199,32,0.4,244
200,32,0.34,243
204,32,0.38,241
205,32,0.33,241
206,32,0.4,238
211,32,0.37,240
212,32,0.4,242
215,32,0.39,240
218,32,0.4,240
219,32,0.37,242
220,32,0.4,242
221,32,0.4,240
222,32,0.4,243
223,32,0.35,241
225,32,0.35,241
226,32,0.4,242
227,32,0.4,241
228,32,0.36,240
229,32,0.37,235
230,32,0.38,244
231,32,0.4,238
232,32,0.35,238
233,32,0.36,236
234,32,0.4,242
235,32,0.4,244
236,32,0.4,240
237,32,0.36,240
238,32,0.4,242
239,32,0.37,242
240,32,0.4,241
241,32,0.35,241
242,32,0.38,236
243,32,0.33,241
244,32,0.35,244
252,32,0.4,243
253,32,0.4,241
254,32,0.4,241
255,32,0.38,243
256,32,0.39,241
257,32,0.35,240
258,32,0.37,242
259,32,0.35,242
262,32,0.35,241
263,32,0.4,242
264,32,0.34,241
265,32,0.35,239
268,32,0.34,241
269,32,0.39,239
270,32,0.37,241
271,32,0.4,244
272,32,0.4,238
273,32,0.33,240
274,32,0.4,241
275,32,0.4,240
276,32,0.4,241
278,32,0.4,243
281,32,0.4,241
282,32,0.4,242
283,32,0.36,243
284,32,0.4,241
285,32,0.37,239
286,32,0.35,242
287,32,0.37,242
288,32,0.39,237
289,32,0.4,240
290,32,0.39,241
291,32,0.36,241
292,32,0.4,243
293,32,0.4,240
294,32,0.4,240
295,32,0.4,241
296,32,0.38,242
297,32,0.37,241
298,32,0.37,240
299,32,0.4,240
300,32,0.4,241
301,32,0.33,240
302,32,0.4,242
303,32,0.4,241
304,32,0.4,240
305,32,0.4,240
306,32,0.4,241
307,32,0.33,240
308,32,0.33,240
309,32,0.4,241
310,32,0.33,240
312,32,0.33,239
313,32,0.4,239
314,32,0.34,239
315,32,0.37,241
316,32,0.35,241
317,32,0.36,241
318,32,0.35,243
319,32,0.36,242
320,32,0.33,241
321,32,0.34,242
322,32,0.35,243
323,32,0.36,240
324,32,0.34,239
325,32,0.34,239
326,32,0.4,238
329,32,0.4,242
330,32,0.4,240
331,32,0.4,241
332,32,0.35,240
334,32,0.38,241
358,32,0.38,241
362,32,0.4,241
364,32,0.37,241
6,33,0.4,241
7,33,0.4,242
8,33,0.35,243
9,33,0.38,243
10,33,0.39,241
11,33,0.4,241
12,33,0.34,240
13,33,0.35,241
14,33,0.35,244
15,33,0.4,242
20,33,0.36,239
21,33,0.4,240
22,33,0.34,240
23,33,0.35,239
24,33,0.4,241
25,33,0.37,242
26,33,0.37,244
27,33,0.4,241
28,33,0.35,240
29,33,0.4,240
30,33,0.33,241
31,33,0.33,235
33,33,0.4,243
37,33,0.36,244
38,33,0.4,245
44,33,0.4,243
45,33,0.4,242
46,33,0.39,240
47,33,0.36,241
48,33,0.4,243
49,33,0.4,240
50,33,0.4,242
51,33,0.35,238
69,33,0.38,241
70,33,0.33,239
71,33,0.4,240
72,33,0.34,244
73,33,0.34,238
74,33,0.4,239
75,33,0.37,240
104,33,0.39,238
105,33,0.4,243
106,33,0.4,242
109,33,0.33,242
113,33,0.39,242
114,33,0.4,240
116,33,0.4,242
136,33,0.4,241
137,33,0.34,239
138,33,0.4,241
139,33,0.4,243
140,33,0.39,241
141,33,0.4,240
142,33,0.39,240
143,33,0.4,240
144,33,0.4,240
145,33,0.33,242
146,33,0.4,241
147,33,0.39,247
149,33,0.4,238
150,33,0.36,241
153,33,0.39,240
154,33,0.36,240
155,33,0.4,239
156,33,0.4,237
157,33,0.38,241
158,33,0.34,241
159,33,0.38,240
160,33,0.34,239
161,33,0.4,240
162,33,0.4,240
163,33,0.39,239
164,33,0.4,243
166,33,0.37,243
167,33,0.4,242
168,33,0.4,242
169,33,0.4,240
170,33,0.4,242
171,33,0.4,242
172,33,0.39,240
175,33,0.36,240
176,33,0.35,241
177,33,0.35,239
179,33,0.4,241
180,33,0.36,241
181,33,0.34,241
182,33,0.4,245
183,33,0.36,243
184,33,0.37,241
186,33,0.4,242
187,33,0.36,241
188,33,0.39,243
189,33,0.4,244
190,33,0.4,241
191,33,0.36,246
192,33,0.4,240
193,33,0.4,242
194,33,0.4,241
195,33,0.4,242
196,33,0.34,242
197,33,0.4,241
198,33,0.34,239
200,33,0.4,238
201,33,0.34,243
202,33,0.4,239
203,33,0.38,240
207,33,0.4,242
208,33,0.4,242
211,33,0.36,242
212,33,0.4,243
213,33,0.34,240
216,33,0.4,243
217,33,0.4,242
218,33,0.4,240
222,33,0.37,245
223,33,0.36,241
224,33,0.4,241
225,33,0.36,238
231,33,0.36,241
232,33,0.4,243
233,33,0.4,246
234,33,0.33,239
235,33,0.39,241
236,33,0.37,243
237,33,0.4,242
238,33,0.4,244
239,33,0.36,245
240,33,0.4,241
241,33,0.36,242
242,33,0.4,240
243,33,0.35,240
244,33,0.34,242
245,33,0.35,240
246,33,0.4,241
247,33,0.39,241
248,33,0.4,242
249,33,0.34,244
250,33,0.35,241
251,33,0.33,239
252,33,0.37,240
253,33,0.35,240
254,33,0.4,240
255,33,0.4,241
256,33,0.4,243
257,33,0.33,241
258,33,0.39,241
259,33,0.33,240
260,33,0.4,240
261,33,0.38,241
262,33,0.35,240
263,33,0.36,243
264,33,0.36,240
265,33,0.4,241
266,33,0.33,242
267,33,0.4,243
272,33,0.4,242
273,33,0.4,239
275,33,0.35,239
276,33,0.4,240
277,33,0.37,239
279,33,0.4,241
281,33,0.34,241
284,33,0.4,242
285,33,0.4,242
286,33,0.4,241
287,33,0.4,241
288,33,0.4,241
289,33,0.35,242
290,33,0.38,242
291,33,0.35,240
292,33,0.4,242
293,33,0.34,241
294,33,0.34,242
296,33,0.4,242
297,33,0.39,241
298,33,0.39,242
299,33,0.39,242
300,33,0.39,241
301,33,0.33,241
302,33,0.34,240
303,33,0.38,242
304,33,0.38,235
305,33,0.4,240
306,33,0.4,243
317,33,0.4,241
318,33,0.39,240
319,33,0.35,241
323,33,0.38,242
324,33,0.39,242
326,33,0.33,242
327,33,0.4,240
328,33,0.4,239
329,33,0.36,241
330,33,0.4,243
331,33,0.37,243
333,33,0.4,242
334,33,0.4,240
335,33,0.4,243
336,33,0.39,242
338,33,0.34,236
339,33,0.4,238
358,33,0.4,242
359,33,0.38,239
360,33,0.38,242
361,33,0.34,241
362,33,0.4,241
363,33,0.4,239
365,33,0.4,243
366,33,0.38,239
367,33,0.36,240
1,34,0.34,239
2,34,0.34,239
3,34,0.35,238
4,34,0.39,238
5,34,0.4,242
6,34,0.4,242
7,34,0.4,246
8,34,0.37,241
9,34,0.4,239
10,34,0.35,241
11,34,0.39,241
12,34,0.4,243
13,34,0.38,241
14,34,0.4,241
15,34,0.4,245
16,34,0.4,243
17,34,0.4,240
19,34,0.4,241
20,34,0.4,239
22,34,0.38,241
23,34,0.35,241
24,34,0.37,239
25,34,0.39,241
26,34,0.4,241
27,34,0.37,241
29,34,0.4,243
32,34,0.35,239
33,34,0.35,242
36,34,0.4,239
37,34,0.4,241
38,34,0.4,241
39,34,0.39,240
40,34,0.4,239
45,34,0.35,242
46,34,0.38,242
50,34,0.4,241
51,34,0.4,242
53,34,0.35,241
54,34,0.34,241
76,34,0.36,240
77,34,0.36,242
108,34,0.4,243
109,34,0.33,241
110,34,0.4,241
111,34,0.38,243
116,34,0.4,238
117,34,0.4,238
119,34,0.4,240
120,34,0.39,241
138,34,0.4,242
139,34,0.4,241
140,34,0.4,241
141,34,0.37,243
142,34,0.4,242
143,34,0.4,240
144,34,0.4,240
145,34,0.4,239
146,34,0.4,240
147,34,0.37,241
148,34,0.4,241
149,34,0.33,241
150,34,0.4,240
151,34,0.33,242
152,34,0.37,238
153,34,0.35,240
154,34,0.4,242
155,34,0.4,241
156,34,0.35,241
158,34,0.4,240
159,34,0.39,235
160,34,0.36,242
161,34,0.35,241
162,34,0.39,242
163,34,0.39,242
165,34,0.4,244
166,34,0.39,242
167,34,0.37,245
169,34,0.36,244
170,34,0.33,241
171,34,0.33,241
172,34,0.33,241
173,34,0.4,243
174,34,0.4,242
175,34,0.4,241
177,34,0.39,241
178,34,0.33,240
179,34,0.4,241
180,34,0.4,240
181,34,0.39,240
182,34,0.4,241
185,34,0.39,241
186,34,0.34,240
187,34,0.36,238
188,34,0.37,240
189,34,0.38,241
191,34,0.4,240
192,34,0.39,240
193,34,0.4,241
194,34,0.35,240
195,34,0.4,241
196,34,0.4,241
197,34,0.36,242
198,34,0.35,240
199,34,0.36,240
200,34,0.4,241
201,34,0.33,242
202,34,0.37,241
203,34,0.39,242
204,34,0.33,241
205,34,0.39,243
206,34,0.4,241
207,34,0.37,240
208,34,0.37,241
209,34,0.36,239
210,34,0.39,241
211,34,0.37,241
212,34,0.4,241
213,34,0.4,242
214,34,0.34,238
215,34,0.4,239
216,34,0.4,240
217,34,0.35,242
221,34,0.4,242
222,34,0.36,242
223,34,0.39,239
224,34,0.37,240
225,34,0.4,240
227,34,0.4,241
230,34,0.38,240
